CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Smallest PPT,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Location
LINK-001046,Brooklyn,307,38,40.659745,-73.998986,Link Active!,141113,776 4 TH AVE,11232,bk-07-141113,04/13/2017,03/03/2017,Sunset Park West,3009654,3006570038,3010100,"(40.65974544, -73.99898564)"
LINK-001048,Brooklyn,307,38,40.656011,-74.002446,Link Active!,125841,875 4 TH AVE,11232,bk-07-125841,04/13/2017,02/24/2017,Sunset Park West,3010083,3006800045,3010100,"(40.656011, -74.002446)"
LINK-001049,Brooklyn,307,38,40.653711,-74.005258,Link Active!,125846,968 4 TH AVE,11232,bk-07-125846,06/09/2017,04/28/2017,Sunset Park West,3010388,3007000032,3008400,"(40.65371111, -74.00525819)"
LINK-001059,Brooklyn,307,38,40.662588,-73.992259,Link Installed; Connecting Power and Fiber,125904,650 5TH AVE,11215,bk-07-125904,,08/10/2017,Park Slope-Gowanus,3345653,3006340047,3014300,"(40.662588, -73.992259)"
LINK-001078,Brooklyn,309,40,40.660852,-73.960581,Link Active!,126569,535 FLATBUSH AVE,11225,bk-09-126569,03/07/2017,02/17/2017,Prospect Lefferts Gardens-Wingate,3114678,3050280006,3079801,"(40.660852, -73.960581)"
LINK-001087,Brooklyn,317,40,40.651027,-73.946513,Link Active!,126297,3301 CHURCH AVE,11203,bk-17-126297,10/30/2017,06/27/2017,Erasmus,3108643,3048700041,3081800,"(40.65102676, -73.94651287)"
LINK-001089,Brooklyn,317,45,40.651047,-73.943969,Link Active!,126233,3524 CHURCH AVE,11203,bk-17-126233,10/30/2017,08/31/2017,East Flatbush-Farragut,3109473,3048890010,3085600,"(40.65104682, -73.9439693)"
LINK-001108,Queens,409,32,40.697563,-73.836280,Link Active!,124784,112-01 JAMAICA AVE,11418,qu-09-124784,07/31/2017,05/20/2017,Richmond Hill,4192681,4092260034,4013000,"(40.697562874894686, -73.8362804014256)"
LINK-001109,Queens,409,29,40.698900,-73.833834,Link Active!,128721,115-09 JAMAICA AVE,11418,qu-09-128721,06/26/2017,05/12/2017,Richmond Hill,4192728,4092290026,4013200,"(40.69889972, -73.83383439)"
LINK-001111,Queens,409,29,40.699754,-73.831609,Link Active!,135034,118-04 JAMAICA AVE,11418,qu-09-135034,09/25/2017,05/12/2017,Richmond Hill,4195911,4093280001,4012200,"(40.69975447, -73.83160899)"
LINK-001112,Queens,409,29,40.699895,-73.831098,Link Active!,127841,118-18 JAMAICA AVE,11418,qu-09-127841,06/26/2017,05/12/2017,Richmond Hill,4195916,4093280008,4012200,"(40.69989495, -73.83109767)"
