CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Smallest PPT,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Location
LINK-000002,Brooklyn,301,34,40.701668,-73.942489,Link Active!,138951,15 DEBEVOISE STREET,11206,bk-01-138951,08/02/2017,07/01/2017,East Williamsburg,3071604,3031190027,3049100,"(40.70166753, -73.94248859)"
LINK-000003,Brooklyn,301,34,40.701542,-73.942169,Link Active!,109091,24 Graham Avenue,11206,bk-01-109091,08/03/2017,07/01/2017,East Williamsburg,3071658,3031270011,3049100,"(40.70154219381847, -73.9421692830818)"
LINK-000004,Brooklyn,301,34,40.701930,-73.942239,Link Active!,143982,32 Puerto Rico Ave,11206,bk-01-143982,08/02/2017,07/01/2017,East Williamsburg,3071609,3031200003,3049100,"(40.70193034387478, -73.94223923853747)"
LINK-000005,Brooklyn,301,34,40.705060,-73.942918,Link Active!,109262,101 Puerto Rico Ave,11206,bk-01-109262,05/23/2017,04/28/2017,East Williamsburg,3325892,3030880015,3049100,"(40.70506042, -73.94291758)"
LINK-000027,Brooklyn,301,33,40.728133,-73.953439,Link Active!,125268,817 Manhattan Ave,11222,bk-01-125268,04/14/2017,03/31/2017,Greenpoint,3065107,3025730019,3056100,"(40.728133, -73.953439)"
LINK-000029,Brooklyn,301,33,40.717770,-73.957869,Link Installed; Connecting Power and Fiber,140988,182 Bedford Ave,11249,bk-01-140988,,11/03/2017,North Williamsburg,3062079,3023270022,3055300,"(40.71777024, -73.95786908)"
LINK-000031,Brooklyn,306,39,40.674556,-73.981936,Link Active!,125931,270 5Th Ave,11215,bk-06-125931,04/03/2017,02/24/2017,Park Slope-Gowanus,3020591,3009640036,3013300,"(40.67455551, -73.98193577)"
LINK-000032,Brooklyn,306,39,40.677620,-73.979738,Link Active!,125930,168 5Th Ave,11217,bk-06-125930,04/03/2017,02/24/2017,Park Slope-Gowanus,3019560,3009490044,3013100,"(40.67761961, -73.97973799)"
LINK-000034,Brooklyn,308,35,40.679568,-73.974060,Link Installed; Connecting Power and Fiber,125716,271 Flatbush Av,11217,bk-08-125716,,11/03/2017,Prospect Heights,3250935,3011507501,3016100,"(40.679568, -73.97406)"
LINK-000035,Brooklyn,306,39,40.679639,-73.974371,Link Installed; Connecting Power and Fiber,126514,248 Flatbush,11217,bk-06-126514,,11/03/2017,Prospect Heights,3018773,3009360012,3016100,"(40.679638583935684, -73.97437145711058)"
LINK-000036,Brooklyn,308,35,40.678453,-73.973253,Link Installed; Connecting Power and Fiber,126502,307 Flatbush Av,11217,bk-08-126502,,11/03/2017,Prospect Heights,3028698,3011570015,3016100,"(40.678452794261375, -73.97325277705482)"
LINK-000039,Brooklyn,307,39,40.664176,-73.990353,Link Active!,125916,601 5Th Avenue,11215,bk-07-125916,07/25/2017,06/27/2017,Park Slope-Gowanus,3330599,3010530001,3014100,"(40.664176, -73.990353)"
LINK-000040,Brooklyn,306,39,40.668533,-73.986956,Link Active!,125910,462 5Th Avenue,11215,bk-06-125910,04/03/2017,02/23/2017,Park Slope-Gowanus,3000000,3010160038,3013900,"(40.66853323, -73.98695629)"
LINK-000041,Brooklyn,306,39,40.669018,-73.986317,Link Active!,125626,445 5Th Avenue,11215,bk-06-125626,06/05/2017,02/24/2017,Park Slope-Gowanus,3000000,3010110005,3013900,"(40.669018, -73.986317)"
LINK-000042,Brooklyn,306,39,40.669731,-73.985958,Link Active!,125921,426 5Th Avenue,11215,bk-06-125921,04/03/2017,02/23/2017,Park Slope-Gowanus,3022092,3010040038,3013700,"(40.66973105, -73.98595804)"
LINK-000043,Brooklyn,306,39,40.673534,-73.982789,Link Active!,117250,304 5Th Avenue,11215,bk-06-117250,08/15/2017,06/27/2017,Park Slope-Gowanus,3020782,3009690045,3013500,"(40.673534, -73.982789)"
LINK-000044,Brooklyn,302,35,40.683625,-73.977006,Link Active!,126505,620 Atlantic Avenue,11217,bk-02-126505,07/25/2017,06/30/2017,Park Slope-Gowanus,3348849,3020017501,3012901,"(40.683625, -73.977006)"
LINK-000045,Brooklyn,302,35,40.688851,-73.980613,Link Active!,126565,605 FULTON STREET,11201,bk-02-126565,01/20/2017,11/13/2016,Fort Greene,3058594,3020930001,3003300,"(40.688851, -73.980613)"
LINK-000046,Brooklyn,302,33,40.685218,-73.980867,Link Installed; Connecting Power and Fiber,125833,46 3Rd Ave,11217,bk-02-125833,,09/30/2017,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3000981,3001850025,3003900,"(40.68521833, -73.98086659)"
LINK-000049,Brooklyn,302,33,40.687901,-73.993147,Link Installed; Connecting Power and Fiber,126166,181 Court Street,11201,bk-02-126166,,10/07/2017,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3002846,3002800015,3004300,"(40.6879008, -73.99314691)"
LINK-000051,Brooklyn,306,39,40.685390,-73.994526,Link Pending Activation,126392,252 Court Street,11231,bk-06-126392,,08/10/2017,Carroll Gardens-Columbia Street-Red Hook,3336007,3003260037,3006700,"(40.68538975617828, -73.99452620138658)"
LINK-000052,Brooklyn,306,39,40.682483,-73.995753,Link Pending Activation,126394,343 Court Street,11231,bk-06-126394,,08/10/2017,Carroll Gardens-Columbia Street-Red Hook,3007004,3004280001,3007500,"(40.68248291664298, -73.99575348261186)"
LINK-000054,Brooklyn,302,33,40.687497,-73.990023,Link Active!,127278,126 Smith Street,11201,bk-02-127278,09/18/2017,07/01/2017,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001047,3001870029,3004300,"(40.6874966, -73.99002262)"
LINK-000056,Brooklyn,302,33,40.687649,-73.980424,Link Active!,126506,365 Livingston Street,11217,bk-02-126506,07/26/2017,11/13/2016,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3000483,3001620001,3003700,"(40.68764898, -73.98042355)"
LINK-000064,Bronx,207,14,40.863114,-73.904575,Link Active!,111540,2408 University Ave,10468,bx-07-111540,03/30/2017,02/18/2017,Kingsbridge Heights,2014623,2032130001,2026300,"(40.86311405, -73.90457508)"
LINK-000067,Bronx,205,15,40.860215,-73.893059,Link Active!,116218,2461 Webster Ave,10458,bx-05-116218,05/25/2016,05/12/2016,Bedford Park-Fordham North,2011078,2030260059,2039902,"(40.86021467, -73.89305944)"
LINK-000070,Bronx,207,14,40.862644,-73.903244,Link Active!,119564,48 W Fordham Rd,10468,bx-07-119564,09/15/2016,08/13/2016,Kingsbridge Heights,2014307,2031990021,2025300,"(40.86264365, -73.90324404)"
LINK-000072,Bronx,205,14,40.861349,-73.898023,Link Active!,119575,2437 Grand Concourse,10468,bx-05-119575,07/19/2016,07/01/2016,Fordham South,2013798,2031650034,2023703,"(40.861349, -73.898023)"
LINK-000074,Bronx,205,14,40.861655,-73.898581,Link Active!,119587,150 E 188St,10468,bx-05-119587,05/25/2016,05/12/2016,Fordham South,2013796,2031650030,2023703,"(40.86165512, -73.89858091)"
LINK-000076,Bronx,205,15,40.859154,-73.898553,Link Active!,119628,2366-2370 Grand Concourse,10458,bx-05-119628,07/15/2016,05/12/2016,Fordham South,2013738,2031590042,2038301,"(40.85915372, -73.89855259)"
LINK-000077,Bronx,207,14,40.862855,-73.904547,Link Active!,119787,95 W Fordham Rd,10468,bx-07-119787,03/30/2017,02/18/2017,Kingsbridge Heights,2014623,2032130001,2026300,"(40.86285548, -73.90454701)"
LINK-000087,Bronx,205,14,40.862086,-73.899521,Link Active!,119570,100 E Fordham Rd,10468,bx-05-119570,07/20/2017,05/10/2017,Fordham South,2013908,2031730029,2023703,"(40.86208577, -73.89952057)"
LINK-000090,Bronx,207,15,40.861993,-73.891830,Link Active!,119793,385 E Fordham Rd,10458,bx-07-119793,06/21/2017,08/27/2016,Bedford Park-Fordham North,2016327,2032750065,2039901,"(40.86199332, -73.89182996)"
LINK-000092,Manhattan,105,3,40.765830,-73.983368,Link Active!,122622,944 8 Avenue,10019,mn-05-122622,08/03/2016,07/19/2016,Midtown-Midtown South,1024888,1010270063,1013700,"(40.76582962, -73.98336787)"
LINK-000108,Manhattan,105,3,40.767008,-73.981859,Link Active!,122514,3 Columbus Circle,10019,mn-05-122514,07/20/2017,05/26/2017,Midtown-Midtown South,1024900,1010297501,1013700,"(40.76700781147154, -73.98185928988113)"
LINK-000111,Manhattan,105,3,40.766175,-73.981988,Link Active!,122522,250 West 57St,10019,mn-05-122522,07/19/2016,05/26/2016,Midtown-Midtown South,1024899,1010280056,1013700,"(40.76617479, -73.98198781)"
LINK-000114,Manhattan,105,3,40.743203,-73.989206,Link Active!,123647,1123 Broadway,10010,mn-05-123647,12/05/2016,10/29/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1015618,1008270028,1005800,"(40.74320284, -73.98920582)"
LINK-000116,Manhattan,105,3,40.744243,-73.989016,Link Active!,108039,1149 Broadway,10001,mn-05-108039,11/08/2016,10/01/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1015655,1008280051,1005800,"(40.74424305, -73.98901592)"
LINK-000120,Manhattan,105,2,40.745127,-73.988671,Link Active!,139806,1170 Broadway,10001,mn-05-139806,11/02/2016,10/15/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1080710,1008290050,1005800,"(40.74512705, -73.98867089)"
LINK-000130,Manhattan,105,4,40.746624,-73.988399,Link Active!,122180,1216 Broadway,10001,mn-05-122180,07/18/2016,04/16/2016,Midtown-Midtown South,1080723,1008310059,1007600,"(40.746624, -73.988399)"
LINK-000134,Manhattan,105,4,40.748139,-73.988101,Link Active!,122053,1250 Broadway,10001,mn-05-122053,04/10/2017,11/12/2016,Midtown-Midtown South,1015805,1008330011,1007600,"(40.74813894, -73.9881009)"
LINK-000141,Manhattan,105,3,40.749663,-73.988006,Link Active!,122369,1293 Broadway,10001,mn-05-122369,07/19/2016,04/30/2016,Midtown-Midtown South,1015199,1008090045,1010100,"(40.749663, -73.988006)"
LINK-000146,Manhattan,105,3,40.752339,-73.987574,Link Active!,122057,1375 Broadway,10018,mn-05-122057,12/02/2016,06/04/2016,Midtown-Midtown South,1015254,1008130016,1010900,"(40.75233922, -73.98757374)"
LINK-000151,Manhattan,105,3,40.753059,-73.987386,Link Active!,122175,1407 Broadway,10018,mn-05-122175,10/27/2016,07/23/2016,Midtown-Midtown South,1015265,1008140015,1011300,"(40.75305908, -73.98738603)"
LINK-000155,Manhattan,105,3,40.754493,-73.986935,Link Active!,122169,1431 Broadway,10018,mn-05-122169,08/18/2016,07/23/2016,Midtown-Midtown South,1022561,1009930007,1011300,"(40.75449299, -73.98693515)"
LINK-000158,Manhattan,105,4,40.754851,-73.986359,Link Active!,122171,1450 Broadway,10018,mn-05-122171,08/18/2016,07/23/2016,Midtown-Midtown South,1022568,1009930047,1011300,"(40.75485087, -73.98635944)"
LINK-000162,Manhattan,105,4,40.760413,-73.984541,Link Active!,133361,1600 Broadway,10019,mn-05-133361,07/18/2016,05/14/2016,Midtown-Midtown South,1087187,1010207502,1012500,"(40.76041294, -73.9845408)"
LINK-000163,Manhattan,105,3,40.760266,-73.984857,Link Active!,134185,1605 Broadway,10019,mn-05-134185,07/18/2016,05/14/2016,Midtown-Midtown South,1076195,1010200046,1012500,"(40.76026604, -73.9848567)"
LINK-000164,Manhattan,105,4,40.760646,-73.984420,Link Active!,122088,1606 Broadway,10019,mn-05-122088,07/18/2016,04/30/2016,Midtown-Midtown South,1024779,1010200038,1012500,"(40.760646, -73.98442)"
LINK-000165,Manhattan,105,4,40.760632,-73.984283,Link Active!,133511,1606 Broadway,10019,mn-05-133511,07/19/2016,04/30/2016,Midtown-Midtown South,1024779,1010200038,1012500,"(40.7606321744599, -73.9842828917777)"
LINK-000166,Manhattan,105,3,40.760718,-73.984634,Link Active!,134155,1611 Broadway,10019,mn-05-134155,07/19/2016,05/26/2016,Midtown-Midtown South,1076195,1010200046,1012500,"(40.7607176, -73.98463363)"
LINK-000168,Manhattan,105,4,40.760883,-73.984277,Link Active!,133508,1626 Broadway,10019,mn-05-133508,07/18/2016,05/26/2016,Midtown-Midtown South,1024795,1010210026,1012500,"(40.76088277, -73.98427739)"
LINK-000173,Manhattan,105,4,40.762593,-73.983077,Link Active!,133505,1668 Broadway,10019,mn-05-133505,10/28/2016,10/01/2016,Midtown-Midtown South,1024818,1010230029,1013100,"(40.7625933, -73.9830769)"
LINK-000177,Manhattan,105,3,40.763978,-73.982629,Link Active!,122541,1701 Broadway,10019,mn-05-122541,07/19/2016,04/30/2016,Midtown-Midtown South,1024839,1010250044,1013100,"(40.76397808, -73.98262883)"
LINK-000178,Manhattan,105,4,40.764127,-73.982309,Link Active!,122529,1710 Broadway,10019,mn-05-122529,07/19/2016,04/16/2016,Midtown-Midtown South,1024850,1010260021,1013700,"(40.76412672, -73.98230856)"
LINK-000180,Manhattan,105,3,40.764672,-73.982363,Link Active!,122532,1725 Broadway,10019,mn-05-122532,07/19/2016,05/14/2016,Midtown-Midtown South,1078860,1010267502,1013700,"(40.76467196, -73.98236264)"
LINK-000182,Manhattan,105,3,40.765341,-73.982129,Link Installed; Connecting Power and Fiber,118228,1745 Broadway,10019,mn-05-118228,,08/31/2017,Midtown-Midtown South,1086135,1010277504,1013700,"(40.76534122, -73.98212946)"
LINK-000184,Manhattan,105,3,40.748539,-73.988218,Link Active!,122056,Greenly Sq. W 32St,10001,mn-05-122056,06/19/2017,04/01/2017,Midtown-Midtown South,1015199,1008090045,1007600,"(40.74853941, -73.98821846)"
LINK-000185,Manhattan,105,4,40.750087,-73.987781,Link Active!,122775,Herald Square,10001,mn-05-122775,07/18/2016,04/30/2016,Midtown-Midtown South,1015220,1008100040,1010900,"(40.750087, -73.987781)"
LINK-000186,Manhattan,105,2,40.734148,-73.988740,Link Active!,134620,117 East 14Th St,10003,mn-05-134620,07/19/2017,06/11/2017,Gramercy,1083247,1008707501,1005000,"(40.73414765, -73.98873983)"
LINK-000189,Manhattan,103,2,40.734141,-73.989412,Link Active!,123149,145 4Th Ave,10003,mn-03-123149,11/10/2016,10/22/2016,East Village,1077569,1005590009,1004200,"(40.73414056, -73.98941209)"
LINK-000190,Manhattan,105,2,40.736111,-73.993424,Link Active!,134468,69 5Th Ave,10003,mn-05-134468,11/01/2017,07/29/2017,Hudson Yards-Chelsea-Flatiron-Union Square,1016061,1008427501,1005200,"(40.73611052, -73.99342438)"
LINK-000191,Manhattan,104,3,40.737561,-73.996841,Link Active!,111683,101 West 14Th St,10011,mn-04-111683,12/02/2016,09/24/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1014526,1007900032,1008100,"(40.73756051, -73.99684066)"
LINK-000193,Manhattan,105,3,40.736201,-73.993601,Link Active!,136396,90 5Th Ave,10011,mn-02-136396,08/30/2017,07/29/2017,Hudson Yards-Chelsea-Flatiron-Union Square,1009717,1005770039,1005400,"(40.73620058, -73.99360102)"
LINK-000194,Manhattan,103,2,40.734127,-73.989778,Link Active!,133442,145 4Th Ave,10003,mn-03-133442,11/10/2016,10/22/2016,East Village,1077569,1005590009,1004200,"(40.73412708, -73.98977798)"
LINK-000198,Manhattan,104,3,40.738074,-73.998319,Link Active!,123535,133 West 14Th St,10011,mn-04-123535,11/11/2016,10/16/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1014523,1007907503,1008100,"(40.73807416, -73.99831928)"
LINK-000199,Manhattan,102,3,40.738997,-74.000946,Link Active!,123538,220 West 14Th St,10011,mn-02-123538,10/25/2016,09/18/2016,West Village,1011104,1006180022,1007700,"(40.73899661, -74.0009461)"
LINK-000202,Manhattan,102,3,40.738570,-73.999932,Link Active!,123539,200 West 14Th St,10011,mn-02-123539,10/25/2016,09/18/2016,West Village,1011111,1006180032,1007700,"(40.73857046, -73.99993241)"
LINK-000203,Manhattan,102,3,40.737805,-73.998106,Link Active!,123547,120 West 14Th St,10011,mn-02-123547,12/09/2016,09/17/2016,West Village,1010639,1006090023,1007100,"(40.737805, -73.998106)"
LINK-000206,Manhattan,104,3,40.737906,-73.997921,Link Active!,122427,125 West 14Th St,10011,mn-04-122427,12/02/2016,09/24/2016,Hudson Yards-Chelsea-Flatiron-Union Square,1086581,1007907502,1008100,"(40.73790583, -73.99792058)"
LINK-000213,Manhattan,104,3,40.743027,-74.004005,Link Installed; Connecting Power and Fiber,136743,119 9Th Ave,10011,mn-04-136743,,10/15/2017,Hudson Yards-Chelsea-Flatiron-Union Square,1078418,1007150010,1008300,"(40.74302673, -74.00400454)"
LINK-000214,Manhattan,105,3,40.738040,-73.992377,Link Installed; Connecting Power and Fiber,123023,122 5Th Ave,10011,mn-05-123023,,02/11/2017,Hudson Yards-Chelsea-Flatiron-Union Square,1015419,1008190037,1005400,"(40.73803969, -73.9923767)"
LINK-000223,Manhattan,103,2,40.733107,-73.987162,Link Active!,123265,123 3Rd Ave,10003,mn-03-123265,01/27/2016,01/15/2016,East Village,1088500,1004697505,1004000,"(40.733107, -73.987162)"
LINK-000224,Manhattan,106,2,40.733694,-73.987044,Link Active!,136486,130 3Rd Ave,10003,mn-06-136486,02/01/2016,01/29/2016,Gramercy,1084936,1008700024,1005000,"(40.73369379, -73.98704351)"
LINK-000225,Manhattan,106,2,40.733470,-73.987384,Link Active!,123261,133 East 14Th St,10003,mn-06-123261,07/19/2016,07/02/2016,Gramercy,1084936,1008700024,1005000,"(40.73347, -73.987384)"
LINK-000226,Manhattan,106,2,40.733919,-73.986881,Link Active!,135857,140 3Rd Ave,10003,mn-06-135857,05/31/2017,04/29/2017,Gramercy,1084936,1008700024,1005000,"(40.73391885, -73.98688143)"
LINK-000227,Manhattan,106,2,40.733841,-73.986634,Link Active!,133896,141 3Rd Ave,10003,mn-06-133896,01/19/2016,12/28/2015,Gramercy,1019522,1008960048,1004800,"(40.73384075, -73.98663439)"
LINK-000228,Manhattan,106,2,40.734222,-73.986658,Link Active!,135588,147 3Rd Ave,10003,mn-06-135588,05/22/2017,04/29/2017,Gramercy,1017803,1008710039,1005000,"(40.73422211, -73.98665825)"
LINK-000230,Manhattan,106,2,40.734492,-73.986162,Link Active!,133339,165 3Rd Ave,10003,mn-06-133339,01/19/2016,01/08/2016,Gramercy,1019531,1008970035,1004800,"(40.73449153, -73.98616158)"
LINK-000231,Manhattan,106,2,40.742625,-73.980628,Link Active!,121495,154 E 29Th St,10016,mn-06-121495,06/24/2016,05/14/2016,Murray Hill-Kips Bay,1018223,1008840048,1007200,"(40.742625, -73.980628)"
LINK-000232,Manhattan,106,4,40.748383,-73.976344,Link Active!,121521,155 East 38Th Street,10016,mn-06-121521,03/10/2016,02/28/2016,Murray Hill-Kips Bay,1019272,1008947502,1008000,"(40.74838329, -73.9763443)"
LINK-000233,Manhattan,106,4,40.748287,-73.976535,Link Active!,136202,160 East 38Th Street,10016,mn-06-136202,03/18/2016,02/06/2016,Murray Hill-Kips Bay,1019099,1008930041,1008000,"(40.748287044035735, -73.97653467917542)"
LINK-000235,Manhattan,106,4,40.758275,-73.969130,Link Active!,134118,160 East 54Th,10022,mn-06-134118,06/24/2016,02/28/2016,Turtle Bay-East Midtown,1036474,1013087501,1010000,"(40.75827505, -73.96912972)"
LINK-000238,Manhattan,106,2,40.734031,-73.986488,Link Installed; Connecting Power and Fiber,133338,147 3rd Ave,10003,mn-06-133338,,04/29/2017,Gramercy,1019523,1008970001,1004800,"(40.734031, -73.986488)"
LINK-000240,Manhattan,106,2,40.739531,-73.982889,Link Active!,121489,172 E 24Th St,10010,mn-06-121489,05/17/2016,04/30/2016,Gramercy,1018053,1008790044,1006800,"(40.739531, -73.982889)"
LINK-000241,Manhattan,106,2,40.734770,-73.986259,Link Active!,133531,180 3Rd Ave,10003,mn-06-133531,01/27/2016,01/08/2016,Gramercy,1017822,1008720035,1005000,"(40.73476963, -73.98625935)"
LINK-000242,Manhattan,106,2,40.735348,-73.985846,Link Active!,133521,188 3Rd Ave,10003,mn-06-133521,01/19/2016,12/28/2015,Gramercy,1017853,1008730033,1005000,"(40.73534819, -73.98584567)"
LINK-000243,Manhattan,106,2,40.735626,-73.985322,Link Active!,123634,203 3Rd Ave,10003,mn-06-123634,01/19/2016,01/08/2016,Gramercy,1019551,1008980001,1004800,"(40.735626, -73.985322)"
LINK-000246,Manhattan,106,2,40.737597,-73.983890,Link Active!,134536,201 3Rd Ave,10010,mn-06-134536,05/22/2017,04/29/2017,Gramercy,1019633,1009020001,1006400,"(40.737597, -73.98389)"
LINK-000251,Manhattan,106,4,40.750717,-73.974088,Link Active!,137072,201 East 42Nd St,10017,mn-06-137072,03/09/2016,02/07/2016,Turtle Bay-East Midtown,1037549,1013160001,1008800,"(40.75071654, -73.97408803)"
LINK-000252,Manhattan,106,4,40.760207,-73.967177,Link Active!,134218,201 East 57Th Street,10022,mn-06-134218,05/17/2016,04/23/2016,Turtle Bay-East Midtown,1089950,1013310001,1010800,"(40.76020693, -73.96717705)"
LINK-000253,Manhattan,106,2,40.736214,-73.984900,Link Active!,133527,205 3Rd Ave,10003,mn-06-133527,07/14/2016,05/21/2016,Gramercy,1019580,1008990001,1004800,"(40.736214, -73.9849)"
LINK-000254,Manhattan,106,2,40.735839,-73.985171,Link Active!,133890,205 3Rd Ave,10003,mn-06-133890,02/28/2016,01/29/2016,Gramercy,1019580,1008990001,1004800,"(40.735839, -73.985171)"
LINK-000256,Manhattan,106,2,40.736332,-73.985123,Link Active!,133525,220 3Rd Ave,10003,mn-06-133525,04/27/2016,04/16/2016,Gramercy,1088759,1008747504,1005000,"(40.73633169, -73.98512348)"
LINK-000257,Manhattan,106,2,40.736426,-73.984750,Link Active!,133440,233 3Rd Ave,10003,mn-06-133440,02/01/2016,01/29/2016,Gramercy,1019602,1009000001,1006400,"(40.73642647, -73.98474973)"
LINK-000258,Manhattan,106,2,40.736789,-73.984486,Link Active!,123822,243 3Rd Ave,10003,mn-06-123822,03/16/2016,01/29/2016,Gramercy,1084938,1009000057,1006400,"(40.736789, -73.984486)"
LINK-000264,Manhattan,106,2,40.739528,-73.982489,Link Active!,121488,323 3Rd Ave,10010,mn-06-121488,12/05/2016,10/29/2016,Murray Hill-Kips Bay,1082137,1009050001,1006600,"(40.739528, -73.982489)"
LINK-000266,Manhattan,106,2,40.740041,-73.982424,Link Active!,121501,336 3rd Ave,10010,mn-06-121501,02/01/2016,01/29/2016,Gramercy,1018080,1008800050,1006800,"(40.74004081, -73.98242356)"
LINK-000267,Manhattan,106,2,40.739975,-73.982035,Link Active!,103457,337 3rd Ave,10010,mn-06-103457,07/13/2016,07/02/2016,Murray Hill-Kips Bay,1019808,1009050056,1006600,"(40.7399752, -73.98203484)"
LINK-000269,Manhattan,106,2,40.740246,-73.982383,Link Active!,138462,340 3Rd Ave,10010,mn-06-138462,05/17/2016,04/23/2016,Gramercy,1018109,1008810040,1006800,"(40.740246, -73.982383)"
LINK-000272,Manhattan,106,2,40.740573,-73.981729,Link Active!,121539,355 3Rd Ave,10010,mn-06-121539,01/26/2016,01/15/2016,Murray Hill-Kips Bay,1019844,1009060055,1006600,"(40.740573, -73.981729)"
LINK-000273,Manhattan,106,2,40.740775,-73.981576,Link Active!,121499,359 3Rd Ave,10016,mn-06-121499,01/26/2016,01/15/2016,Murray Hill-Kips Bay,1019845,1009070001,1006600,"(40.740775, -73.981576)"
LINK-000274,Manhattan,106,2,40.740989,-73.981732,Link Active!,136668,362 3Rd Ave,10016,mn-06-136668,07/19/2017,05/13/2017,Gramercy,1018143,1008820045,1006800,"(40.74098927, -73.98173228)"
LINK-000275,Manhattan,106,2,40.741291,-73.981512,Link Active!,134618,370 3Rd Ave,10016,mn-06-134618,06/21/2017,05/13/2017,Gramercy,1018147,1008820050,1006800,"(40.74129079, -73.98151176)"
LINK-000276,Manhattan,106,2,40.741169,-73.981297,Link Active!,121498,371 3Rd Ave,10016,mn-06-121498,02/01/2016,01/29/2016,Murray Hill-Kips Bay,1019864,1009070056,1006600,"(40.74116898, -73.98129694)"
LINK-000278,Manhattan,106,2,40.742007,-73.980680,Link Active!,121496,395 3Rd Ave,10016,mn-06-121496,05/17/2016,04/23/2016,Murray Hill-Kips Bay,1019888,1009090001,1006600,"(40.742007, -73.98068)"
LINK-000280,Manhattan,106,2,40.742433,-73.980371,Link Active!,134922,411 3Rd Ave,10016,mn-06-134922,08/03/2017,06/24/2017,Murray Hill-Kips Bay,1019911,1009090054,1006600,"(40.742433, -73.980371)"
LINK-000281,Manhattan,106,2,40.742736,-73.980459,Link Active!,134654,412 3Rd Ave,10016,mn-06-134654,06/07/2017,05/13/2017,Murray Hill-Kips Bay,1018223,1008840048,1007200,"(40.742736, -73.98045937)"
LINK-000283,Manhattan,106,2,40.743035,-73.980242,Link Active!,134561,416 3Rd Ave,10016,mn-06-134561,10/06/2017,06/30/2017,Murray Hill-Kips Bay,1018263,1008850042,1007200,"(40.7430352, -73.98024173)"
LINK-000284,Manhattan,106,2,40.743093,-73.979813,Link Active!,121506,429 3Rd Ave,10016,mn-06-121506,06/24/2016,05/21/2016,Murray Hill-Kips Bay,1019945,1009100061,1007000,"(40.743093, -73.979813)"
LINK-000285,Manhattan,106,2,40.743494,-73.979907,Link Active!,134920,438 3Rd Ave,10016,mn-06-134920,08/03/2017,06/30/2017,Murray Hill-Kips Bay,1018323,1008860046,1007200,"(40.74349362, -73.97990736)"
LINK-000286,Manhattan,106,2,40.743950,-73.979655,Link Active!,121505,450 3Rd Ave,10016,mn-06-121505,05/17/2016,04/23/2016,Murray Hill-Kips Bay,1078756,1008870030,1007200,"(40.74395034, -73.97965465)"
LINK-000287,Manhattan,106,2,40.743876,-73.979316,Link Active!,133465,451 3Rd Ave,10016,mn-06-133465,01/27/2016,01/15/2016,Murray Hill-Kips Bay,1020028,1009120001,1007000,"(40.743876, -73.979316)"
LINK-000292,Manhattan,106,2,40.745116,-73.978416,Link Active!,121502,489 3Rd Ave,10016,mn-06-121502,02/19/2016,02/06/2016,Murray Hill-Kips Bay,1020103,1009140001,1007000,"(40.745116, -73.978416)"
LINK-000296,Manhattan,106,2,40.746217,-73.977614,Link Active!,133470,521 3rd Ave,10016,mn-06-133470,05/05/2017,03/11/2017,Murray Hill-Kips Bay,1020174,1009150062,1007800,"(40.746217, -73.977614)"
LINK-000297,Manhattan,106,4,40.746449,-73.977444,Link Active!,121513,525 3Rd Ave,10016,mn-06-121513,02/19/2016,02/06/2016,Murray Hill-Kips Bay,1020178,1009160001,1007800,"(40.746449, -73.977444)"
LINK-000298,Manhattan,106,4,40.746539,-73.977688,Link Active!,121512,528 3Rd Ave,10016,mn-06-121512,01/27/2016,01/15/2016,Murray Hill-Kips Bay,1018910,1008910039,1008000,"(40.74653888, -73.97768758)"
LINK-000301,Manhattan,106,4,40.747050,-73.977005,Link Active!,121511,545 3Rd Ave,10016,mn-06-121511,03/23/2017,02/04/2017,Murray Hill-Kips Bay,1020214,1009177501,1007800,"(40.74705, -73.977005)"
LINK-000302,Manhattan,106,4,40.747672,-73.976965,Link Active!,138165,558 East 37Th St,10016,mn-06-138165,06/24/2016,05/14/2016,Murray Hill-Kips Bay,1018969,1008920047,1008000,"(40.747672, -73.976965)"
LINK-000303,Manhattan,106,4,40.747788,-73.976777,Link Active!,121522,560 3Rd Ave,10016,mn-06-121522,03/21/2016,02/06/2016,Murray Hill-Kips Bay,1019099,1008930041,1008000,"(40.74778786, -73.97677658)"
LINK-000304,Manhattan,106,4,40.748289,-73.976105,Link Active!,121352,581B 3Rd Ave,10016,mn-06-121352,02/19/2016,02/06/2016,Murray Hill-Kips Bay,1020348,1009190001,1007800,"(40.748289, -73.976105)"
